rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
58,46,46,,no,no,Emiliana Arango,25,COL,COL,1027,-9,-115,,Lost in Doha R64,,no
59,28,28,,no,no,Peyton Stearns,24,USA,USA,1023,-4,-55,,Lost in Doha R64,,no
60,50,50,,no,no,Cristina Bucșa,28,ESP,ESP,994,-4,-75,,Lost in Doha R64,,no
61,NCH (62),61,62,yes,yes,Solana Sierra,21,ARG,ARG,980,+1,-7,,Lost in Qual. Doha R2 Lost in Doha R64,,no
62,50,50,,no,no,Anna Bondár,28,HUN,HUN,978,,+1,,,,no
63,39,39,,no,no,Varvara Gracheva,25,FRA,FRA,952,+10,+65,Doha R32 (R64 )**Qual. Doha W****Qual. Doha W** Doha R32 (R64 )1007 1887,,,yes
64,8,8,,no,no,Daria Kasatkina,28,AUS,AUS,942,-3,-55,Doha R32 (R64 )997 1877,,,yes
65,10,10,,no,no,Beatriz Haddad Maia,29,BRA,BRA,942,+2,+10,Doha R64,Lost in Qual. Doha R2 Lost in Qual. Doha R2 Doha R64 1007 1942,,yes
66,65,65,,no,no,Antonia Ružić,23,CRO,CRO,933,,,,Lost in Qual. Doha R1,,no
67,54,54,,no,no,Caty McNally,24,USA,USA,928,,+1,,,,no
68,NCH (69),68,69,yes,yes,Petra Marčinko,20,CRO,CRO,912,,+1,,,,no
69,2,2,,no,no,Paula Badosa,28,ESP,ESP,901,-5,-65,,,,no
70,NCH (71),70,71,yes,yes,Oleksandra Oliynykova,25,UKR,UKR,894,,+1,,,,no
71,65,65,,no,no,Francesca Jones,25,GBR,GBR,890,-6,-48,,,,no
72,32,32,,no,no,Ajla Tomljanović,32,AUS,AUS,881,,+2,,,,no
73,NCH (75),73,75,yes,yes,Oksana Selekhmeteva,23,RUS,RUS,878,,+2,,,,no
74,21,21,,no,no,Anastasia Potapova,24,AUT,AUT,872,,+2,,,,no
75,40,40,,no,no,Alycia Parks,25,USA,USA,872,,+2,Doha R32 (R64 )**Qual. Doha W****Qual. Doha W** Doha R32 (R64 )927 1807,,,yes
76,20,20,,no,no,Yulia Putintseva,31,KAZ,KAZ,871,-6,-38,,,,no
77,33,33,,no,no,Camila Osorio,24,COL,COL,871,+3,+20,Doha R64**Qual. Doha W****Qual. Doha W** Doha R64 936 1871,,,yes
78,7,7,,no,no,Danielle Collins,32,USA,USA,865,,,,,,no
79,51,51,,no,no,Elena-Gabriela Ruse,28,ROU,ROU,864,-7,-28,,,,no
80,54,54,,no,no,Julia Grabher,29,AUT,AUT,859,,-1,,Lost in Qual. Doha R1,,no
81,CH,81,,yes,no,Simona Waltert,25,SUI,SUI,850,,,,Lost in Qual. Doha R1,,no
82,34,34,,no,no,Anna Blinkova,27,RUS,RUS,848,,+1,,,,no
83,23,23,,no,no,Katie Boulter,29,GBR,GBR,844,,+1,,,,no
84,69,69,,no,no,Zeynep Sönmez,23,TUR,TUR,843,,+1,Doha R64 898 1833,,,yes
85,22,22,,no,no,Shuai Zhang,37,CHN,CHN,839,,+1,,Lost in Qual. Doha R1,,no
86,51,51,,no,no,Renata Zarazúa,28,MEX,MEX,814,+5,+10,,Lost in Qual. Doha R1,,no
87,32,32,,no,no,Olga Danilović,25,SRB,SRB,811,,,,,,no
88,47,47,,no,no,Moyuka Uchijima,24,JPN,JPN,810,,,**Qual. Doha W**,Lost in Doha R64,,yes
89,35,35,,no,no,Viktorija Golubic,33,SUI,SUI,810,,,Oeiras R32 813 923,,,yes
90,79,79,,no,no,Dalma Gálfi,27,HUN,HUN,806,,,Oeiras R32 809 919,,,yes
91,60,60,,no,no,Kamilla Rakhimova,24,UZB,UZB,802,,+1,,,,no
92,58,58,,no,no,Kaja Juvan,25,SLO,SLO,796,,+2,,,,no
93,76,76,,no,no,Panna Udvardy,27,HUN,HUN,792,,+2,,,,no
94,60,60,,no,no,Kimberly Birrell,27,AUS,AUS,789,,+2,,Lost in Qual. Doha R2,,no
95,78,78,,no,no,Ella Seidel,20,GER,GER,785,+5,+8,,Lost in Qual. Doha R2,,no
96,56,56,,no,no,Katie Volynets,24,USA,USA,784,-3,-12,,,,no
97,87,87,,no,no,Darja Semenistaja,23,LAT,LAT,781,,+1,,,,no
98,39,39,,no,no,Lulu Sun,24,NZL,NZL,780,,+1,,,,no
99,17,17,,no,no,Donna Vekić,29,CRO,CRO,776,-2,-9,,,,no
100,29,29,,no,no,Ashlyn Krueger,21,USA,USA,771,,+1,Advertisement,,,yes
101,63,63,,no,no,Yulia Starodubtseva,25,UKR,UKR,762,+2,+18,,Lost in Qual. Doha R2,,no
102,33,33,,no,no,Rebecca Šramková,29,SVK,SVK,758,-20,-90,,Lost in Qual. Doha R1,,no
103,79,79,,no,no,Anastasia Zakharova,24,RUS,RUS,754,+2,+17,Doha R64**Qual. Doha W****Qual. Doha W** Doha R64 819 1754,,,yes
104,CH,104,,yes,no,Nikola Bartůňková,19,CZE,CZE,743,,,,,,no
105,71,71,,no,no,Tamara Korpatsch,30,GER,GER,734,-3,-17,,,,no
106,104,104,,no,no,Sinja Kraus,23,AUT,AUT,727,,,,,,no
107,48,48,,no,no,Diane Parry,23,FRA,FRA,724,,,,,,no
108,31,31,,no,no,Mayar Sherif,29,EGY,EGY,720,,,,,,no
109,11,11,,no,no,Anastasia Pavlyuchenkova,34,RUS,RUS,716,+1,+10,,Lost in Doha R64,,no
110,98,98,,no,no,Veronika Erjavec,26,SLO,SLO,707,,-1,,,,no
111,57,57,,no,no,Suzan Lamens,26,NED,NED,703,,,Oeiras R32 705 815,,,yes
112,105,105,,no,no,Talia Gibson,21,AUS,AUS,697,,,Brisbane 2 R32 697 759,,,yes
113,29,29,,no,no,Aliaksandra Sasnovich,31,BLR,BLR,673,,+1,,Lost in Qual. Doha R1,,no
114,NCH (115),114,115,yes,yes,Lilli Tagger,17,AUT,AUT,673,,+1,,,,no
115,46,46,,no,no,Taylor Townsend,29,USA,USA,668,+1,-2,,,,no
116,91,91,,no,no,Léolia Jeanjean,30,FRA,FRA,661,,+1,Pune R32 661 718,,,yes
117,62,62,,no,no,Rebeka Masarova,26,SUI,SUI,660,-4,-18,,Lost in Qual. Doha R1,,no
118,49,49,,no,no,Linda Fruhvirtová,20,CZE,CZE,657,,,,,,no
119,107,107,,no,no,Victoria Jimenez Kasintseva,20,AND,AND,657,,,Oeiras R32 670 780,,,yes
120,116,116,,no,no,Tiantsoa Rakotomanga Rajaonah,20,FRA,FRA,649,,,Oeiras R32 663 773,,,yes
121,41,41,,no,no,Caroline Dolehide,27,USA,USA,627,,+1,,,,no
122,36,36,,no,no,Yue Yuan,27,CHN,CHN,626,-1,-9,,,,no
123,112,112,,no,no,Maddison Inglis,28,AUS,AUS,607,,+2,,,,no
124,NCH (126),124,126,yes,yes,Lanlana Tararudee,21,THA,THA,605,,+2,,,,no
125,117,117,,no,no,Joanna Garland,24,TWN,TWN,599,-1,-13,,,,no
126,94,94,,no,no,Priscilla Hon,27,AUS,AUS,582,+2,+1,,Lost in Qual. Doha R1,,no
127,59,59,,no,no,Greet Minnen,28,BEL,BEL,570,,-29,Oeiras R32 584 694,,,yes
128,105,105,,no,no,Daria Snigur,23,UKR,UKR,567,-5,-47,,,,no
129,CH,129,,yes,no,Kaitlin Quevedo,19,ESP,ESP,567,,+1,Oeiras R32 576 686,,,yes
130,129,129,,no,no,Linda Klimovičová,21,POL,POL,563,-1,-6,Oeiras R32 576 686,,,yes
131,41,41,,no,no,Arantxa Rus,35,NED,NED,560,,,Grenoble R32 560 595,,,yes
132,CH,132,,yes,no,Himeno Sakatsume,24,JPN,JPN,556,,+1,,,,no
133,121,121,,no,no,Maja Chwalińska,24,POL,POL,546,+1,-7,Oeiras R32 559 669,,,yes
134,122,122,,no,no,Hanne Vandewinkel,21,BEL,BEL,545,,+1,Pune R16 552 611,,,yes
135,114,114,,no,no,Marina Stakusic,21,CAN,CAN,542,-3,-14,,,,no
136,NCH (137),136,137,yes,yes,Darja Viďmanová,23,CZE,CZE,538,+1,+1,Oeiras R32 552 662,,,yes
137,99,99,,no,no,Lucrezia Stefanini,27,ITA,ITA,534,,+1,Oeiras R32 538 648,,,yes
138,137,137,,no,no,Lola Radivojevic,21,SRB,SRB,534,,+1,Oeiras R32 540 650,,,yes
139,NCH (141),139,141,yes,yes,Sofia Costoulas,20,BEL,BEL,527,,+2,,,,no
140,46,46,,no,no,Lucia Bronzetti,27,ITA,ITA,526,,+2,,,,no
141,112,112,,no,no,Katarzyna Kawa,33,POL,POL,516,-5,-21,,Lost in Qual. Doha R1,,no
142,54,54,,no,no,Polina Kudermetova,22,UZB,UZB,515,-2,-18,,,,no
143,123,123,,no,no,Leyre Romero Gormaz,23,ESP,ESP,509,,,Oeiras R32 522 632,,,yes
144,22,22,,no,no,Tamara Zidanšek,28,SLO,SLO,507,,,,,,no
145,31,31,,no,no,Lin Zhu,32,CHN,CHN,501,,,Brisbane 2 R32 509 575,,,yes
146,22,22,,no,no,Irina-Camelia Begu,35,ROU,ROU,485,,+2,,,,no
147,19,19,,no,no,Varvara Lepchenko,39,USA,USA,483,,+2,**Qual. Oeiras W**,,,yes
148,1,1,,no,no,Victoria Azarenka,36,BLR,BLR,475,-1,-10,,,,no
149,129,129,,no,no,Dominika Šálková,21,CZE,CZE,475,,+1,Oeiras R32 489 599,,,yes
150,134,134,,no,no,Taylah Preston,20,AUS,AUS,467,+1,-6,Brisbane 2 R32 467 533 Advertisement,,,yes
151,46,46,,no,no,Viktoriya Tomova,30,BUL,BUL,465,,+2,Oeiras R32 479 589,,,yes
152,93,93,,no,no,Maria Timofeeva,22,UZB,UZB,463,,+3,,,,no
153,71,71,,no,no,María Carlé,25,ARG,ARG,457,,+3,,,,no
