tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-auckland,Auckland,Hard,,I,20260104,1,429517,,,Sara Bejlek,,,,,416641,,,Panna Udvardy,,,,,7-5 6-1,3,R32,,2,2,,,,,,,,1,3,,,,,,,,92,816,91,819
2026-auckland,Auckland,Hard,,I,20260104,2,388459,,,Iva Jovic,,,,,766389,,,Gabriela Knutson,,,,,4-6 6-1 6-0,3,R32,,1,1,,,,,,,,1,4,,,,,,,,35,1423,191,377
2026-auckland,Auckland,Hard,,I,20260104,3,652440,,,Sofia Costoulas,,,,,791769,,,Whitney Osuigwe,,,,,6-4 3-6 6-1,3,R32,,3,2,,,,,,,,3,3,,,,,,,,162,440,158,455
2026-auckland,Auckland,Hard,,I,20260104,4,600494,,,Xinyu Wang,,,,,520895,,,Caty Mcnally,,,,,2-6 6-3 7-5,3,R32,,6,2,,,,,,,,3,6,,,,,,,,56,1056,83,836
2026-auckland,Auckland,Hard,,I,20260104,5,937862,,,Kaitlin Quevedo,,,,,688846,,,Peyton Stearns,,,,,6-2 7-5,3,R32,,4,2,,,,,,,,2,6,,,,,,,,145,509,63,1013
2026-auckland,Auckland,Hard,,I,20260104,6,879393,,,Sinja Kraus,,,,,346262,,,Julia Grabher,,,,,6-3 6-3,3,R32,,2,1,,,,,,,,4,2,,,,,,,,110,709,95,808
2026-auckland,Auckland,Hard,,I,20260104,7,794930,,,Francesca Jones,,,,,804248,,,Emma Navarro,,,,,7-5 2-6 6-4,3,R32,,1,6,,,,,,,,4,4,,,,,,,,74,912,15,2515
2026-auckland,Auckland,Hard,,I,20260104,8,988957,,,Renata Zarazua,,,,,441252,,,Sloane Stephens,,,,,7-5 4-6 6-2,3,R32,,0,1,,,,,,,,1,1,,,,,,,,79,851,1075,15
2026-auckland,Auckland,Hard,,I,20260104,9,302110,,,Petra Marcinko,,,,,769396,,,Camila Osorio,,,,,6-4 0-6 7-6,3,R32,,1,8,,,,,,,,0,4,,,,,,,,82,837,78,860
2026-auckland,Auckland,Hard,,I,20260104,10,970027,,,Katie Boulter,,,,,976242,,,Yuliia Starodubtseva,,,,,6-3 6-3,3,R32,,1,6,,,,,,,,2,2,,,,,,,,106,744,113,685
2026-auckland,Auckland,Hard,,I,20260104,11,631483,,,Ella Seidel,,,,,839218,,,Monique Barry,,,,,6-2 6-1,3,R32,,2,3,,,,,,,,1,2,,,,,,,,84,833,648,66
2026-auckland,Auckland,Hard,,I,20260104,12,444525,,,Sonay Kartal,,,,,797291,,,Janice Tjen,,,,,6-1 6-7 6-3,3,R32,,8,0,,,,,,,,4,2,,,,,,,,69,937,53,1105
2026-auckland,Auckland,Hard,,I,20260104,13,684064,,,Magda Linette,,,,,969718,,,Venus Williams,,,,,6-4 4-6 6-2,3,R32,,7,1,,,,,,,,7,4,,,,,,,,55,1089,577,80
2026-auckland,Auckland,Hard,,I,20260104,14,121013,,,Elisabetta Cocciaretto,,,,,663060,,,Alycia Parks,,,,,6-2 7-5,3,R32,,3,4,,,,,,,,6,2,,,,,,,,81,837,85,831
2026-auckland,Auckland,Hard,,I,20260104,15,568896,,,Elina Svitolina,,,,,323630,,,Varvara Gracheva,,,,,6-3 6-1,3,R32,,2,2,,,,,,,,3,5,,,,,,,,14,2606,77,887
2026-auckland,Auckland,Hard,,I,20260104,16,261807,,,Alexandra Eala,,,,,975382,,,Donna Vekic,,,,,4-6 6-4 6-4,3,R32,,1,6,,,,,,,,7,9,,,,,,,,52,1116,70,935
2026-auckland,Auckland,Hard,,I,20260104,17,388459,,,Iva Jovic,,,,,429517,,,Sara Bejlek,,,,,7-6 6-4,3,R16,,2,2,,,,,,,,1,3,,,,,,,,35,1423,92,816
2026-auckland,Auckland,Hard,,I,20260104,18,794930,,,Francesca Jones,,,,,879393,,,Sinja Kraus,,,,,1-6 6-4 6-1,3,R16,,1,3,,,,,,,,8,6,,,,,,,,74,912,110,709
2026-auckland,Auckland,Hard,,I,20260104,19,600494,,,Xinyu Wang,,,,,988957,,,Renata Zarazua,,,,,7-5 6-4,3,R16,,3,3,,,,,,,,0,2,,,,,,,,56,1056,79,851
2026-auckland,Auckland,Hard,,I,20260104,20,652440,,,Sofia Costoulas,,,,,937862,,,Kaitlin Quevedo,,,,,6-2 6-0,3,R16,,7,3,,,,,,,,2,3,,,,,,,,162,440,145,509
2026-auckland,Auckland,Hard,,I,20260104,21,261807,,,Alexandra Eala,,,,,302110,,,Petra Marcinko,,,,,6-0 6-2,3,R16,,1,2,,,,,,,,1,3,,,,,,,,52,1116,82,837
2026-auckland,Auckland,Hard,,I,20260104,22,684064,,,Magda Linette,,,,,121013,,,Elisabetta Cocciaretto,,,,,7-5 2-6 6-3,3,R16,,2,1,,,,,,,,0,5,,,,,,,,55,1089,81,837
2026-auckland,Auckland,Hard,,I,20260104,23,568896,,,Elina Svitolina,,,,,970027,,,Katie Boulter,,,,,7-5 6-4,3,R16,,4,4,,,,,,,,2,4,,,,,,,,14,2606,106,744
2026-auckland,Auckland,Hard,,I,20260104,24,444525,,,Sonay Kartal,,,,,631483,,,Ella Seidel,,,,,6-3 6-1,3,R16,,0,0,,,,,,,,1,4,,,,,,,,69,937,84,833
2026-auckland,Auckland,Hard,,I,20260104,25,600494,,,Xinyu Wang,,,,,794930,,,Francesca Jones,,,,,6-4 4-3,3,QF,,4,1,,,,,,,,3,0,,,,,,,,56,1056,74,912
2026-auckland,Auckland,Hard,,I,20260104,26,261807,,,Alexandra Eala,,,,,684064,,,Magda Linette,,,,,6-3 6-2,3,QF,,0,2,,,,,,,,3,2,,,,,,,,52,1116,55,1089
2026-auckland,Auckland,Hard,,I,20260104,27,388459,,,Iva Jovic,,,,,652440,,,Sofia Costoulas,,,,,6-2 7-6,3,QF,,1,2,,,,,,,,3,2,,,,,,,,35,1423,162,440
2026-auckland,Auckland,Hard,,I,20260104,28,568896,,,Elina Svitolina,,,,,444525,,,Sonay Kartal,,,,,6-4 6-7 7-6,3,QF,,1,1,,,,,,,,2,0,,,,,,,,14,2606,69,937
2026-auckland,Auckland,Hard,,I,20260104,29,600494,,,Xinyu Wang,,,,,261807,,,Alexandra Eala,,,,,5-7 7-5 6-4,3,SF,,10,7,,,,,,,,2,6,,,,,,,,56,1056,52,1116
2026-auckland,Auckland,Hard,,I,20260104,30,568896,,,Elina Svitolina,,,,,388459,,,Iva Jovic,,,,,7-6 6-2,3,SF,,3,3,,,,,,,,0,2,,,,,,,,14,2606,35,1423
2026-auckland,Auckland,Hard,,I,20260104,31,568896,,,Elina Svitolina,,,,,600494,,,Xinyu Wang,,,,,6-3 7-6,3,F,,7,3,,,,,,,,5,1,,,,,,,,14,2606,56,1056
2026-brisbane,Brisbane,Hard,,P,20260104,1,421789,,,Mccartney Kessler,,,,,741705,,,Emiliana Arango,,,,,6-1 6-3,3,R64,,1,2,,,,,,,,0,3,,,,,,,,31,1558,49,1161
2026-brisbane,Brisbane,Hard,,P,20260104,2,389789,,,Ajla Tomljanovic,,,,,973113,,,Elsa Jacquemot,,,,,6-1 6-3,3,R64,,3,4,,,,,,,,5,6,,,,,,,,80,844,59,1044
2026-brisbane,Brisbane,Hard,,P,20260104,3,651611,,,Anastasia Potapova,,,,,626163,,,Daria Kasatkina,,,,,7-5 4-6 6-4,3,R64,,7,5,,,,,,,,4,16,,,,,,,,50,1131,37,1334
2026-brisbane,Brisbane,Hard,,P,20260104,4,600745,,,Sorana Cirstea,,,,,834140,,,Anastasia Pavlyuchenkova,,,,,6-3 6-1,3,R64,,9,3,,,,,,,,2,3,,,,,,,,43,1243,47,1184
2026-brisbane,Brisbane,Hard,,P,20260104,5,549141,,,Sofia Kenin,,,,,275310,,,Elena-Gabriela Ruse,,,,,6-4 4-6 6-3,3,R64,,2,8,,,,,,,,11,6,,,,,,,,28,1589,88,825
2026-brisbane,Brisbane,Hard,,P,20260104,6,369605,,,Marie Bouzkova,,,,,885728,,,Jaqueline  Cristian,,,,,6-4 6-3,3,R64,,8,2,,,,,,,,2,4,,,,,,,,42,1260,39,1324
2026-brisbane,Brisbane,Hard,,P,20260104,7,851560,,,Kimberly Birrell,,,,,123538,,,Rebecca Sramkova,,,,,6-4 3-6 6-3,3,R64,,5,6,,,,,,,,5,5,,,,,,,,98,802,72,914
2026-brisbane,Brisbane,Hard,,P,20260104,8,952597,,,Shuai Zhang,,,,,701534,,,Ashlyn Krueger,,,,,6-4 5-7 6-4,3,R64,,3,2,,,,,,,,15,3,,,,,,,,87,829,44,1229
2026-brisbane,Brisbane,Hard,,P,20260104,9,397015,,,Olivia Gadecki,,,,,619460,,,Ann Li,,,,,6-4 6-4,3,R64,,2,2,,,,,,,,2,0,,,,,,,,209,350,38,1334
2026-brisbane,Brisbane,Hard,,P,20260104,10,480371,,,Cristina Bucsa,,,,,610520,,,Anna Bondar,,,,,4-6 7-6 6-2,3,R64,,3,1,,,,,,,,10,5,,,,,,,,54,1098,75,900
2026-brisbane,Brisbane,Hard,,P,20260104,11,133650,,,Yulia Putintseva,,,,,987862,,,Hailey Baptiste,,,,,6-2 6-4,3,R64,,2,0,,,,,,,,3,2,,,,,,,,71,924,61,1023
2026-brisbane,Brisbane,Hard,,P,20260104,12,114904,,,Aliaksandra Sasnovich,,,,,126226,,,Anna Blinkova,,,,,7-5 6-1,3,R64,,0,3,,,,,,,,0,6,,,,,,,,114,685,62,1018
2026-brisbane,Brisbane,Hard,,P,20260104,13,393113,,,Anna Kalinskaya,,,,,922335,,,Tereza Valentova,,,,,6-4 6-4,3,R64,,2,2,,,,,,,,4,2,,,,,,,,33,1461,60,1039
2026-brisbane,Brisbane,Hard,,P,20260104,14,813190,,,Dayana Yastremska,,,,,828867,,,Talia Gibson,,,,,7-6 7-6,3,R64,,3,4,,,,,,,,8,5,,,,,,,,27,1604,121,634
2026-brisbane,Brisbane,Hard,,P,20260104,15,362890,,,Magdalena Frech,,,,,339700,,,Marketa Vondrousova,,,,,7-5 6-7 7-6,3,R64,,1,4,,,,,,,,11,10,,,,,,,,58,1051,34,1445
2026-brisbane,Brisbane,Hard,,P,20260104,16,993262,,,Emerson Jones,,,,,913730,,,Tatjana Maria,,,,,6-3 6-3,3,R64,,3,2,,,,,,,,1,3,,,,,,,,150,492,45,1229
2026-brisbane,Brisbane,Hard,,P,20260104,17,731934,,,Madison Keys,,,,,421789,,,Mccartney Kessler,,,,,6-4 6-3,3,R32,,2,3,,,,,,,,1,2,,,,,,,,7,4335,31,1558
2026-brisbane,Brisbane,Hard,,P,20260104,18,425446,,,Diana Shnaider,,,,,651611,,,Anastasia Potapova,,,,,6-1 6-3,3,R32,,4,5,,,,,,,,4,7,,,,,,,,21,1866,50,1131
2026-brisbane,Brisbane,Hard,,P,20260104,19,716715,,,Aryna Sabalenka,,,,,480371,,,Cristina Bucsa,,,,,6-0 6-1,3,R32,,4,0,,,,,,,,0,1,,,,,,,,1,10870,54,1098
2026-brisbane,Brisbane,Hard,,P,20260104,20,558914,,,Ekaterina Alexandrova,,,,,549141,,,Sofia Kenin,,,,,7-6 6-3,3,R32,,9,1,,,,,,,,3,7,,,,,,,,10,3375,28,1589
2026-brisbane,Brisbane,Hard,,P,20260104,21,600745,,,Sorana Cirstea,,,,,762485,,,Jelena Ostapenko,,,,,6-2 7-6,3,R32,,11,3,,,,,,,,0,3,,,,,,,,43,1243,23,1800
2026-brisbane,Brisbane,Hard,,P,20260104,22,563551,,,Karolina Muchova,,,,,389789,,,Ajla Tomljanovic,,,,,4-6 6-1 7-6,3,R32,,4,5,,,,,,,,3,9,,,,,,,,19,1996,80,844
2026-brisbane,Brisbane,Hard,,P,20260104,23,350535,,,Elena Rybakina,,,,,952597,,,Shuai Zhang,,,,,6-3 7-5,3,R32,,16,6,,,,,,,,3,0,,,,,,,,5,5850,87,829
2026-brisbane,Brisbane,Hard,,P,20260104,24,695399,,,Paula Badosa,,,,,369605,,,Marie Bouzkova,,,,,6-7 6-4 6-2,3,R32,,8,13,,,,,,,,3,8,,,,,,,,25,1676,42,1260
2026-brisbane,Brisbane,Hard,,P,20260104,25,814118,,,Jessica Pegula,,,,,393113,,,Anna Kalinskaya,,,,,6-2 2-6 6-4,3,R32,,6,3,,,,,,,,2,3,,,,,,,,6,5583,33,1461
2026-brisbane,Brisbane,Hard,,P,20260104,26,813190,,,Dayana Yastremska,,,,,914953,,,Leylah Fernandez,,,,,6-1 6-2,3,R32,,1,0,,,,,,,,0,7,,,,,,,,27,1604,22,1821
