rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
691,683,683,,no,no,Shiyu Ye,19,CHN,CHN,60,,-6,,,,no
692,632,632,,no,no,Anna Petkovic,21,GER,GER,60,+4,+1,,Lost in Qual. Hamburg R1,,no
693,668,668,,no,no,Zoziya Kardava,25,GEO,GEO,60,,-4,,,,no
694,440,440,,no,no,Noelia Zeballos,32,BOL,BOL,59,-11,-1,,,,no
695,685,685,,no,no,Yuhan Wang,19,CHN,CHN,59,,-4,,,,no
696,652,652,,no,no,Salma Ewing,25,USA,USA,59,,-3,,,,no
697,679,679,,no,no,Laia Petretic,22,FRA,FRA,59,,-3,,Lost in Kursumlijska Banja 11 R16,,no
698,668,668,,no,no,Anastasia Bertacchi,19,ITA,ITA,58,-30,-5,,Lost in Torino R32,,no
699,633,633,,no,no,Maria Sholokhova,22,RUS,RUS,58,+13,+3,,Lost in Astana 2 SF,,no
700,221,221,,no,no,Shiho Akita,36,JPN,JPN,58,,-1,,,,no
701,466,466,,no,no,Ema Burgić Bucko,33,BIH,BIH,58,,-1,,,,no
702,CH,702,,yes,no,Petra Sedláčková,24,CZE,CZE,58,,+1,,Lost in Qual. Horb R2,,no
703,460,460,,no,no,Jenna Defalco,23,USA,USA,58,+12,+3,,Lost in Qual. Evansville R2,,no
704,494,494,,no,no,Anna Hertel,25,POL,POL,58,-24,-3,,Lost in Nogent sur Marne R32,,no
705,700,700,,no,no,Anna Snigireva,18,RUS,RUS,58,,-4,,Lost in Luan 6 R32,,no
706,491,491,,no,no,Jessica Bertoldo,33,ITA,ITA,57,,+1,,Qual. Torino W,,no
707,653,653,,no,no,Jessica Hinojosa Gomez,28,MEX,MEX,56,,-2,,,,no
708,500,500,,no,no,Ivana Šebestová,25,CZE,CZE,56,+22,+3,,Lost in Qual. Amstetten R2,,no
709,708,708,,no,no,Sabine Rutlauka,23,LAT,LAT,56,,-1,Qual. Aldershot R1,,,yes
710,680,680,,no,no,Yasmin Ezzat,22,EGY,EGY,56,+6,+1,,Lost in Monastir 29 R16,,no
711,709,709,,no,no,Allegra Korpanec Davies,18,GBR,GBR,56,,-2,,Lost in Nogent sur Marne R32,,no
712,7,7,,no,no,Danielle Collins,32,USA,USA,55,-9,-1,,,,no
713,591,591,,no,no,Eleejah Inisan,18,FRA,FRA,55,,-3,,Lost in Krsko R32,,no
714,352,352,,no,no,Haruna Arakawa,26,JPN,JPN,55,-60,-10,,,,no
715,180,180,,no,no,Yuliya Hatouka,26,BLR,BLR,55,,-2,,,,no
716,646,646,,no,no,Raphaëlle Lacasse,25,CAN,CAN,55,,-2,,,,no
717,NCH,717,793,yes,yes,Carolina Bohrer Martins,18,BRA,BRA,55,+89,+13,,Lost in São Paulo R16,,no
718,CH,718,,yes,no,Noemi Maines,20,ITA,ITA,55,,,Qual. Maspalomas R1,Lost in Las Palmas De Gran Canaria SF,,yes
719,618,618,,no,no,Alexis Nguyen,18,USA,USA,54,,,,Lost in Dallas R32,,no
720,266,266,,no,no,Mariia Tkacheva,24,RUS,RUS,54,,,,,,no
721,405,405,,no,no,Olivia Lincer,21,USA,USA,54,,,,,,no
722,CH,722,,yes,no,Marianna Argyrokastriti,24,GRE,GRE,54,,,,Lost in Kursumlijska Banja 11 QF,,no
723,NCH,723,743,yes,yes,Ksenia Smirnova,18,RUS,RUS,54,+20,+3,,Lost in Hillcrest 3 QF,,no
724,717,717,,no,no,Sophia Biolay,25,FRA,FRA,54,,-1,Qual. Knokke Heist R1,Lost in Nogent sur Marne QF,,yes
725,566,566,,no,no,Noelia Bouzo Zanotti,26,ESP,ESP,54,,-1,,,,no
726,555,555,,no,no,Marine Szostak,24,FRA,FRA,54,,-1,,,,no
727,504,504,,no,no,Celia Cerviño Ruiz,28,ESP,ESP,54,,,,,,no
728,127,127,,no,no,Fangzhou Liu,30,CHN,CHN,53,,,,,,no
729,320,320,,no,no,Jenny Duerst,27,SUI,SUI,53,,,,Lost in Hillcrest 3 R32,,no
730,NCH,730,731,yes,yes,Elza Tomase,24,LAT,LAT,53,,+1,,,,no
731,538,538,,no,no,Milana Zhabrailova,23,RUS,RUS,53,-5,-1,,,,no
732,531,531,,no,no,Karla Popovic,30,CRO,CRO,53,,,Qual. Aldershot R1,,,yes
733,CH,733,,yes,no,Valeriia Artemeva,19,RUS,RUS,53,,,,,,no
734,728,728,,no,no,Tatum Evans,20,USA,USA,52,,+1,,Lost in Santa Fe R16,,no
735,630,630,,no,no,Sonja Zhiyenbayeva,20,KAZ,KAZ,52,,+1,,,,no
736,689,689,,no,no,Ida Wobker,15,GER,GER,52,+57,+9,,Lost in Amstetten R16,,no
737,732,732,,no,no,Darja Suvirdjonkova,21,SRB,SRB,52,,+2,,Lost in Astana 2 R32,,no
