rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
52,44,44,,no,no,Daniel Altmaier,27,GER,GER,961,,+2,,Lost in Rio de Janeiro R32,,no
53,NCH (56),53,56,yes,yes,Valentin Royer,24,FRA,FRA,935,+7,+38,,Lost in Doha R16,,no
54,31,31,,no,no,Márton Fucsovics,34,HUN,HUN,934,+7,+43,,Lost in Doha R16,,no
55,CH,55,,yes,no,Kamil Majchrzak,30,POL,POL,920,,+1,,Lost in Doha R32,,no
56,29,29,,no,no,Giovanni Mpetshi Perricard,22,FRA,FRA,905,,+2,,Lost in Doha R32,,no
57,19,19,,no,no,Alejandro Tabilo,28,CHI,CHI,883,+11,+75,Rio de Janeiro QF (R32 )983 1283,,,yes
58,43,43,,no,no,Camilo Ugo Carabelli,26,ARG,ARG,880,-12,-188,,Lost in Rio de Janeiro R32,,no
59,23,23,,no,no,Damir Džumhur,33,BIH,BIH,877,,+3,Rio de Janeiro R16 927 1327,,,yes
60,22,22,,no,no,Botic van de Zandschulp,30,NED,NED,874,-5,-62,,,,no
61,37,37,,no,no,Marcos Giron,32,USA,USA,870,+3,+15,,Lost in Delray Beach R16 (R32 ),,no
62,6,6,,no,no,Matteo Berrettini,29,ITA,ITA,860,-5,-50,Rio de Janeiro R16 (R32 )910 1310,,,yes
63,61,61,,no,no,Térence Atmane,24,FRA,FRA,858,+3,+25,,Lost in Delray Beach R16 (R32 ),,no
64,21,21,,no,no,Lorenzo Sonego,30,ITA,ITA,850,,+1,,,,no
65,NCH (67),65,67,yes,yes,Eliot Spizzirri,24,USA,USA,821,,+2,,,,no
66,46,46,,no,no,Quentin Halys,29,FRA,FRA,800,+6,+38,,Lost in Qual. Doha R2 Lost in Doha R16,,no
67,17,17,,no,no,Reilly Opelka,28,USA,USA,786,,+2,,,,no
68,NCH (71),68,71,yes,yes,Juan Manuel Cerúndolo,24,ARG,ARG,781,+10,+75,Rio de Janeiro QF 881 1181,,,yes
69,59,59,,no,no,Raphaël Collignon,24,BEL,BEL,777,-10,-125,,,,no
70,64,64,,no,no,Ethan Quinn,21,USA,USA,776,,,,Lost in Delray Beach R32,,no
71,6,6,,no,no,Hubert Hurkacz,29,POL,POL,775,,,,,,no
72,58,58,,no,no,Arthur Cazaux,23,FRA,FRA,755,,+1,,,,no
73,NCH (78),73,78,yes,yes,Vít Kopřiva,28,CZE,CZE,748,+14,+88,Rio de Janeiro QF (R32 )848 1148,,,yes
74,54,54,,no,no,Aleksandar Kovačević,27,USA,USA,746,,+1,,Lost in Delray Beach R32,,no
75,NCH (90),75,90,yes,yes,Thiago Agustín Tirante,24,ARG,ARG,739,+17,+92,Rio de Janeiro QF 839 1139,,,yes
76,29,29,,no,no,Mariano Navone,24,ARG,ARG,725,-2,-25,,Lost in Rio de Janeiro R32,,no
