rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
365,116,116,,no,no,Marc Polmans,28,AUS,AUS,128,,+2,,,,no
366,358,358,,no,no,Trevor Svajda,19,USA,USA,127,+30,+10,,Lost in Qual. Indian Wells R2,,no
367,336,336,,no,no,Hamish Stewart,26,GBR,GBR,126,,+7,Trimbach SF,Lost in Pszczyna R16 134 143,,yes
368,7,7,,no,no,Richard Gasquet,39,FRA,FRA,125,,+7,,,,no
369,289,289,,no,no,Adria Soriano Barrera,26,COL,COL,125,+3,-1,**Qual. Hersonissos 1 W**,Lost in Hersonissos 1 R32,,yes
370,211,211,,no,no,Javier Barranco Cosano,27,ESP,ESP,125,+3,-1,**Qual. Hersonissos 1 W**,Lost in Hersonissos 1 R32,,yes
371,177,177,,no,no,Omar Jasika,28,AUS,AUS,125,+58,+16,Launceston SF,Lost in Burnie SF 133 142,,yes
372,NCH (382),372,382,yes,yes,Buvaysar Gadamauri,25,BEL,BEL,125,+10,+3,**Qual. Hersonissos 1 W**,Lost in Hersonissos 1 R16,,yes
373,366,366,,no,no,Max Alcalá Gurri,23,ESP,ESP,125,,+4,,Lost in Antalya 8 F,,no
374,360,360,,no,no,Hayato Matsuoka,21,JPN,JPN,125,-6,-3,Qual. Fujairah 1 R2 127 127,,,yes
375,176,176,,no,no,Daniel Masur,31,GER,GER,124,+40,+11,Trimbach SF,Lost in Pszczyna QF 132 141,,yes
376,183,183,,no,no,Federico Arnaboldi,25,ITA,ITA,124,+9,+3,,Lost in Faro QF,,no
377,121,121,,no,no,Raúl Brancaccio,28,ITA,ITA,124,-29,-15,,Lost in Vale Do Lobo R32 Lost in Hersonissos 1 R32,,no
378,NCH (394),378,394,yes,yes,Olle Wallin,24,SWE,SWE,124,+16,+6,,Lost in Pszczyna SF,,no
379,292,292,,no,no,David Jordá Sanchis,31,ESP,ESP,124,,+2,,,,no
380,81,81,,no,no,Michael Mmoh,28,USA,USA,123,-21,-10,,,,no
381,375,375,,no,no,Mert Alkaya,25,TUR,TUR,123,-1,-1,Qual. Fujairah 1 R2 125 125,,,yes
382,NCH (393),382,393,yes,yes,Moïse Kouamé,17,FRA,FRA,122,+11,+4,,Lost in Thionville QF,,no
