rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
1,CH,1,,yes,no,Carlos Alcaraz,22,ESP,ESP,13150,,,Doha R32,,,yes
2,1,1,,no,no,Jannik Sinner,24,ITA,ITA,10300,,,Doha R32,,,yes
3,1,1,,no,no,Novak Djoković,38,SRB,SRB,5280,,,,,,no
4,2,2,,no,no,Alexander Zverev,28,GER,GER,4605,,,,,,no
5,CH,5,,yes,no,Lorenzo Musetti,23,ITA,ITA,4405,,,,,,no
6,5,5,,no,no,Félix Auger-Aliassime,25,CAN,CAN,4230,,+280,Rotterdam F (SF )4400 4400,,,yes
7,4,4,,no,no,Taylor Fritz,28,USA,USA,4220,,+280,Dallas F (QF )4390 4390,,,yes
8,6,6,,no,no,Alex de Minaur,26,AUS,AUS,4080,,+245,Rotterdam F (SF )4250 4250,,,yes
9,5,5,,no,no,Ben Shelton,23,USA,USA,3880,,+320,Dallas F (SF )4050 4050,,,yes
10,CH,10,,yes,no,Alexander Bublik,28,KAZ,KAZ,3405,,+170,Doha R32,Lost in Rotterdam SF Lost in Rotterdam SF Doha R32 Advertisement,,yes
11,1,1,,no,no,Daniil Medvedev,30,RUS,RUS,3010,,-50,Doha R32,Lost in Rotterdam R32 Lost in Rotterdam R32 Doha R32,,yes
12,4,4,,no,no,Jack Draper,24,GBR,GBR,2790,,,,,,no
13,2,2,,no,no,Casper Ruud,27,NOR,NOR,2625,,,Delray Beach R16,,,yes
14,5,5,,no,no,Andrey Rublev,28,RUS,RUS,2510,,+1,Doha R32,,,yes
15,14,14,,no,no,Alejandro Davidovich Fokina,26,ESP,ESP,2470,-1,-65,,Lost in Dallas QF,,no
16,CH,16,,yes,no,Jakub Menšík,20,CZE,CZE,2425,,,Doha R32,,,yes
17,8,8,,no,no,Karen Khachanov,29,RUS,RUS,2360,+1,+40,Doha R32,Lost in Rotterdam R16 Lost in Rotterdam R16 Doha R32,,yes
18,4,4,,no,no,Holger Rune,22,DEN,DEN,2340,,-1,,,,no
19,18,18,,no,no,Francisco Cerúndolo,27,ARG,ARG,2135,,,Buenos Aires F (SF )2220 2220,,,yes
20,17,17,,no,no,Flavio Cobolli,23,ITA,ITA,1955,,,Delray Beach R16,Lost in Dallas R32 Lost in Dallas R32 Delray Beach R16,,yes
21,NCH (22),21,22,yes,yes,Luciano Darderi,24,ITA,ITA,1904,+1,+115,Buenos Aires F (SF )1989 1989,,,yes
22,16,16,,no,no,Jiří Lehečka,24,CZE,CZE,1860,,-1,Doha R32,,,yes
23,CH,23,,yes,no,Learner Tien,20,USA,USA,1710,,,Delray Beach R16,Lost in Dallas R32 Lost in Dallas R32 Delray Beach R16,,yes
24,8,8,,no,no,Tommy Paul,28,USA,USA,1700,,,Delray Beach R32,Lost in Dallas R16 Lost in Dallas R16 Delray Beach R32,,yes
25,21,21,,no,no,Tallon Griekspoor,29,NED,NED,1635,+2,+50,,Lost in Rotterdam QF,,no
26,25,25,,no,no,Valentin Vacherot,27,MON,MON,1605,-1,-6,Delray Beach R32,,,yes
27,8,8,,no,no,Cameron Norrie,30,GBR,GBR,1603,,-1,,Lost in Rotterdam R16 (R32 ),,no
28,10,10,,no,no,Frances Tiafoe,28,USA,USA,1550,+2,+40,Delray Beach R32,Lost in Dallas R16 Lost in Dallas R16 Delray Beach R32,,yes
29,CH,29,,yes,no,Brandon Nakashima,24,USA,USA,1535,,,Delray Beach R32,Lost in Dallas R16 Lost in Dallas R16 Delray Beach R32,,yes
30,26,26,,no,no,Arthur Rinderknech,30,FRA,FRA,1530,-2,-12,Doha R32,Lost in Rotterdam R32 Lost in Rotterdam R32 Doha R32,,yes
31,20,20,,no,no,Tomáš Macháč,25,CZE,CZE,1510,,,Doha R32,,,yes
32,18,18,,no,no,Sebastián Báez,25,ARG,ARG,1495,+2,+75,Rio de Janeiro R32,Lost in Buenos Aires SF Lost in Buenos Aires SF Rio de Janeiro R32,,yes
33,3,3,,no,no,Stefanos Tsitsipas,27,GRE,GRE,1485,-1,+40,Doha R32,Lost in Rotterdam R16 Lost in Rotterdam R16 Doha R32,,yes
34,31,31,,no,no,Corentin Moutet,26,FRA,FRA,1383,,+1,Delray Beach R32,,,yes
35,10,10,,no,no,Denis Shapovalov,26,CAN,CAN,1350,+5,+190,,Lost in Dallas SF,,no
36,13,13,,no,no,Ugo Humbert,27,FRA,FRA,1285,,-50,Doha R32,Lost in Rotterdam SF Lost in Rotterdam SF Doha R32,,yes
37,33,33,,no,no,Jaume Munar,28,ESP,ESP,1275,,+90,Doha R32,Lost in Rotterdam QF Lost in Rotterdam QF Doha R32,,yes
38,24,24,,no,no,João Fonseca,19,BRA,BRA,1190,-5,-250,Rio de Janeiro R32,Lost in Buenos Aires R16 Lost in Buenos Aires R16 Rio de Janeiro R32,,yes
39,33,33,,no,no,Gabriel Diallo,24,CAN,CAN,1175,,-1,Delray Beach R32,Lost in Dallas R32 Lost in Dallas R32 Delray Beach R32,,yes
40,14,14,,no,no,Arthur Fils,21,FRA,FRA,1110,,+2,Doha R32,Lost in Rotterdam R32 Lost in Rotterdam R32 Doha R32,,yes
41,30,30,,no,no,Alex Michelsen,21,USA,USA,1110,,-50,Delray Beach R32,Lost in Dallas R16 Lost in Dallas R16 Delray Beach R32,,yes
42,3,3,,no,no,Grigor Dimitrov,34,BUL,BUL,1105,,+1,,Lost in Dallas R32,,no
43,3,3,,no,no,Marin Čilić,37,CRO,CRO,1090,+18,+200,Delray Beach R32,Lost in Dallas SF Lost in Dallas SF Delray Beach R32,,yes
44,39,39,,no,no,Zizou Bergs,26,BEL,BEL,1080,-5,-90,Doha R32,Lost in Rotterdam R32 Lost in Rotterdam R32 Doha R32,,yes
45,30,30,,no,no,Nuno Borges,28,POR,POR,1070,,-1,Delray Beach R32,,,yes
46,43,43,,no,no,Camilo Ugo Carabelli,26,ARG,ARG,1068,+1,+40,Rio de Janeiro R32,Lost in Buenos Aires QF Lost in Buenos Aires QF Rio de Janeiro R32,,yes
47,33,33,,no,no,Jenson Brooksby,25,USA,USA,1042,,-2,Doha R32,Lost in Dallas R32 Lost in Dallas R32 Doha R32,,yes
48,36,36,,no,no,Fábián Marozsán,26,HUN,HUN,1040,,-2,Doha R32,,,yes
49,17,17,,no,no,Adrian Mannarino,37,FRA,FRA,1025,+3,+50,,Lost in Dallas R16,,no
50,15,15,,no,no,Sebastian Korda,25,USA,USA,1020,+3,+60,Delray Beach R32,Lost in Dallas QF Lost in Dallas QF Delray Beach R32 Advertisement,,yes
51,27,27,,no,no,Tomás Martín Etcheverry,26,ARG,ARG,1020,+3,+75,Rio de Janeiro R32,Lost in Buenos Aires SF Lost in Buenos Aires SF Rio de Janeiro R32,,yes
52,38,38,,no,no,Alexandre Müller,29,FRA,FRA,1020,,-4,Rio de Janeiro R32,,,yes
53,19,19,,no,no,Alexei Popyrin,26,AUS,AUS,1000,,-3,Doha R32,Lost in Rotterdam R32 Lost in Rotterdam R32 Doha R32,,yes
54,44,44,,no,no,Daniel Altmaier,27,GER,GER,961,-3,-34,Rio de Janeiro R32,Lost in Buenos Aires R32 Lost in Buenos Aires R32 Rio de Janeiro R32,,yes
55,22,22,,no,no,Botic van de Zandschulp,30,NED,NED,936,+10,+87,,Lost in Rotterdam QF,,no
56,55,55,,no,no,Kamil Majchrzak,30,POL,POL,920,,-1,Doha R32,,,yes
57,6,6,,no,no,Matteo Berrettini,29,ITA,ITA,910,+1,+15,Rio de Janeiro R32,Lost in Buenos Aires R16 Lost in Buenos Aires R16 Rio de Janeiro R32,,yes
58,29,29,,no,no,Giovanni Mpetshi Perricard,22,FRA,FRA,905,,-2,Doha R32,Lost in Rotterdam R32 Lost in Rotterdam R32 Doha R32,,yes
59,56,56,,no,no,Valentin Royer,24,FRA,FRA,897,,-2,Doha R32,Lost in Rotterdam R32 Lost in Rotterdam R32 Doha R32,,yes
60,31,31,,no,no,Márton Fucsovics,34,HUN,HUN,891,-11,-118,Doha R32,Lost in Rotterdam R32 Lost in Rotterdam R32 Doha R32,,yes
61,23,23,,no,no,Damir Džumhur,33,BIH,BIH,877,,+1,Rio de Janeiro R32,Lost in Buenos Aires R32 Lost in Buenos Aires R32 Rio de Janeiro R32,,yes
62,54,54,,no,no,Francisco Comesaña,25,ARG,ARG,869,,+1,Rio de Janeiro R32,Lost in Buenos Aires R32 Lost in Buenos Aires R32 Rio de Janeiro R32,,yes
63,37,37,,no,no,Marcos Giron,32,USA,USA,855,-4,-40,Delray Beach R32,Lost in Dallas R32 Lost in Dallas R32 Delray Beach R32,,yes
64,21,21,,no,no,Lorenzo Sonego,30,ITA,ITA,850,-4,-40,Rio de Janeiro R32,,,yes
65,NCH (69),65,69,yes,yes,Raphaël Collignon,24,BEL,BEL,841,+4,+64,Pau F 902 902,,,yes
66,61,61,,no,no,Térence Atmane,24,FRA,FRA,833,-2,-16,Delray Beach R32,Lost in Dallas R32 Lost in Dallas R32 Delray Beach R32,,yes
67,NCH (68),67,68,yes,yes,Eliot Spizzirri,24,USA,USA,821,+1,+40,Delray Beach R32,Lost in Dallas R16 Lost in Dallas R16 Delray Beach R32,,yes
68,19,19,,no,no,Alejandro Tabilo,28,CHI,CHI,808,+3,+34,Rio de Janeiro R32,Lost in Buenos Aires QF Lost in Buenos Aires QF Rio de Janeiro R32,,yes
69,17,17,,no,no,Reilly Opelka,28,USA,USA,786,-2,-12,,,,no
70,64,64,,no,no,Ethan Quinn,21,USA,USA,776,+4,+18,Delray Beach R32,Lost in Dallas R16 Lost in Dallas R16 Delray Beach R32,,yes
71,6,6,,no,no,Hubert Hurkacz,29,POL,POL,775,,-1,,Lost in Rotterdam R32,,no
72,46,46,,no,no,Quentin Halys,29,FRA,FRA,762,+5,+37,,Lost in Rotterdam R16 Lost in Qual. Doha R2,,no
73,58,58,,no,no,Arthur Cazaux,23,FRA,FRA,755,,+2,,,,no
74,29,29,,no,no,Mariano Navone,24,ARG,ARG,750,-1,-10,Rio de Janeiro R32,Lost in Buenos Aires R16 Lost in Buenos Aires R16 Rio de Janeiro R32,,yes
75,54,54,,no,no,Aleksandar Kovačević,27,USA,USA,746,+3,+25,Delray Beach R32,Lost in Dallas R16 Lost in Dallas R16 Delray Beach R32,,yes
76,NCH (81),76,81,yes,yes,Emilio Nava,24,USA,USA,710,,+5,Rio de Janeiro R32,Lost in Buenos Aires R32 Lost in Buenos Aires R32 Rio de Janeiro R32,,yes
77,21,21,,no,no,Jan Lennard Struff,35,GER,GER,706,,+5,,Lost in Rotterdam R16,,no
