rank,ch_raw,career_high,prev_career_high,at_career_high,is_new_career_high,player,age,country,flag,points,rank_change,current,previous,next,max,is_playing
110,62,62,,no,no,Rebeka Masarova,26,SUI,SUI,730,,,,Lost in Qual. Indian Wells R1,,no
111,NCH,111,113,yes,yes,Hanne Vandewinkel,21,BEL,BEL,720,+4,+18,Trnava 2 SF,,740,yes
112,105,105,,no,no,Daria Snigur,23,UKR,UKR,717,+5,+27,Trnava 2 SF,,737,yes
113,11,11,,no,no,Anastasia Pavlyuchenkova,34,RUS,RUS,716,,+1,,,,no
114,CH,114,,yes,no,Lilli Tagger,18,AUT,AUT,708,+5,+35,Indian Wells R64,,,yes
115,29,29,,no,no,Aliaksandra Sasnovich,31,BLR,BLR,701,,+1,,Lost in Qual. Indian Wells R1,,no
116,NCH,116,118,yes,yes,Darja Viďmanová,23,CZE,CZE,697,+6,+30,,Qual. Indian Wells W,,no
117,57,57,,no,no,Suzan Lamens,26,NED,NED,694,-4,-25,,Lost in Qual. Indian Wells R1,,no
118,17,17,,no,no,Donna Vekić,29,CRO,CRO,683,-15,-85,Indian Wells R64,,,yes
119,33,33,,no,no,Rebecca Šramková,29,SVK,SVK,680,,-1,,Lost in Indian Wells R128,,no
120,99,99,,no,no,Sinja Kraus,23,AUT,AUT,678,-13,-60,,Lost in Qual. Indian Wells R1,,no
121,49,49,,no,no,Linda Fruhvirtová,20,CZE,CZE,672,,+4,,Lost in Qual. Indian Wells R2,,no
122,91,91,,no,no,Léolia Jeanjean,30,FRA,FRA,665,,+1,,Lost in Qual. Indian Wells R2,,no
123,36,36,,no,no,Yue Yuan,27,CHN,CHN,664,-3,-8,,Lost in Qual. Indian Wells R1,,no
124,NCH,124,125,yes,yes,Alina Korneeva,18,RUS,RUS,643,+1,+15,,Lost in Trnava 2 QF,,no
125,124,124,,no,no,Lanlana Tararudee,21,THA,THA,642,-1,+10,,Qual. Indian Wells W,,no
126,114,114,,no,no,Marina Stakusic,21,CAN,CAN,629,+4,+28,,Qual. Indian Wells W,,no
